TIME,PID,COMM,ACTION,SYSCALL ID,PARM1
1660389102.468222,         b'test',30704 ,1,230,0
1660389102.468303,         b'test',30704 ,0,230,0
1660389103.468285,         b'test',30704 ,1,230,0
1660389103.468367,         b'test',30704 ,0,230,0
1660389104.468495,         b'test',30704 ,1,230,0
1660389104.468537,         b'test',30704 ,0,230,0
1660389105.468714,         b'test',30704 ,1,230,0
1660389105.468776,         b'test',30704 ,0,230,0
1660389106.468905,         b'test',30704 ,1,230,0
1660389106.468960,         b'test',30704 ,0,230,0
1660389107.469126,         b'test',30704 ,1,230,0
1660389107.469202,         b'test',30704 ,0,230,0
1660389108.469353,         b'test',30704 ,1,230,0
1660389108.469394,         b'test',30704 ,0,230,0
1660389109.469556,         b'test',30704 ,1,230,0
1660389109.469607,         b'test',30704 ,0,230,0
1660389110.467587,         b'test',30704 ,1,230,0
1660389110.467661,         b'test',30704 ,0,230,0
1660389111.467792,         b'test',30704 ,1,230,0
1660389111.467919,         b'test',30704 ,0,230,0
1660389112.468070,         b'test',30704 ,1,230,0
1660389112.468139,         b'test',30704 ,0,230,0
1660389113.467541,         b'test',30704 ,1,230,0
1660389113.467598,         b'test',30704 ,0,230,0
1660389114.467694,         b'test',30704 ,1,230,0
1660389114.467763,         b'test',30704 ,0,230,0
1660389115.467968,         b'test',30704 ,1,230,0
1660389115.468012,         b'test',30704 ,0,230,0
1660389116.469213,         b'test',30704 ,1,230,0
1660389116.469272,         b'test',30704 ,0,230,0
1660389117.469450,         b'test',30704 ,1,230,0
1660389117.469495,         b'test',30704 ,0,230,0
1660389118.469621,         b'test',30704 ,1,230,0
1660389118.469693,         b'test',30704 ,0,230,0
1660389119.472679,         b'test',30704 ,1,230,0
1660389119.472736,         b'test',30704 ,0,230,0
1660389120.472818,         b'test',30704 ,1,230,0
1660389120.472912,         b'test',30704 ,0,230,0
1660389121.473057,         b'test',30704 ,1,230,0
1660389121.473111,         b'test',30704 ,0,230,0
1660389122.471009,         b'test',30704 ,1,230,0
1660389122.471086,         b'test',30704 ,0,230,0
